P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
Pleurophascales	Rhizogoniales	Hypopterygiales	6.5192664187648415	3.550204574764848e-11	0.27070833008649575	82670.75	2673.75	1679.25	3492.25	426.0	3965.0	1152.5	459.5	2021.0	32521.25	2474.25	309.5	1208.25	3366.25	337.5
Pottiales	Dicranales	Bryales	8.27977766728121	0.0	0.6046502739921122	568682262.25	31331987.5	18769263.0	20965192.25	5255344.75	24545985.5	13325776.75	5044782.25	25009545.25	198991332.0	24777387.25	4973368.0	13316210.75	20206056.0	4127326.5
Pottiales	Bartramiales	Bryales	6.092157079868109	5.591204166321972e-10	0.14394644394079575	199183115.5	6589432.0	4316872.5	11805129.0	1568623.75	12909569.0	3154675.5	1353530.0	4609259.75	71540114.5	4933598.75	1320396.75	3100575.25	11348690.25	1098607.5
Pottiales	Ditrichales	Bryales	10.337153880519434	0.0	0.6786412942090732	189209504.0	11502327.5	3989445.25	5968220.25	1397144.25	7182276.75	2950633.0	1392541.75	9323136.0	68451427.75	9287178.75	1360554.5	2900961.5	5977200.25	1128084.5
Pottiales	Bruchiales	Bryales	7.513326003380281	2.90878432451791e-14	0.7222439434853067	69486732.25	4189384.5	1641264.25	2119404.25	530389.5	2657563.75	1367618.25	580902.75	3322473.5	24584100.0	3258334.75	529180.25	1237341.5	2208353.25	438284.25
Pottiales	Archidiales	Bryales	8.330368739532645	0.0	0.5412458731613508	217826172.5	11617595.25	7120284.75	8405643.5	2019183.25	10019456.75	5247208.5	1952490.5	8973583.5	75742288.75	9027328.0	1907817.5	4905701.5	8129138.75	1578916.0
Pottiales	Rhabdoweisiales	Bryales	11.521154487762065	0.0	0.5662399968765294	404389860.75	22225220.25	10598914.25	15180608.75	3325180.25	17829230.75	7403823.25	3118651.25	17555812.75	144309684.75	17766819.0	3242217.5	7357905.0	14875260.25	2628743.25
Pottiales	Bryales	Funariales	4.868391616855723	5.633311320751844e-07	0.4810831440864083	142125603.0	9018168.75	6515611.5	6146483.25	2045492.75	7464635.0	4731092.25	1774519.0	6043288.5	45450622.25	6007659.0	1735665.0	4650081.75	5838979.0	1563386.0
Pottiales	Erpodiales	Bryales	5.070137193241197	1.9910086224150803e-07	0.7073368440990724	79745912.25	4529836.75	3222767.0	2805639.5	795048.0	3246679.75	2218495.75	730692.0	3637562.0	27403942.5	3597289.5	776713.5	2139917.75	2648134.5	618739.25
Pottiales	Catoscopiales	Bryales	11.045116785139856	0.0	0.3868858355345294	40176899.75	1903430.0	1060663.75	1798385.75	355899.0	2088451.0	752596.0	313953.75	1412507.75	14288536.0	1493611.0	324093.25	761227.0	1729163.5	261422.5
Pottiales	Pleurophascales	Bryales	6.429769163895659	6.420086684499893e-11	0.5456249342206351	21773786.5	1092061.25	703951.75	822619.75	208194.25	963127.0	512858.75	184235.0	884827.5	7697964.5	867012.75	163101.75	511762.75	838035.25	129667.25
Pottiales	Orthodontiales	Bryales	5.836298559685658	2.6771779237932947e-09	0.12825661777557326	80837802.25	2569722.75	1704651.75	4938047.0	613524.25	5400094.75	1214751.25	529976.0	1762547.0	29078972.5	1900910.0	503876.25	1236237.25	4739958.25	410476.75
Pottiales	Bartramiales	Sphagnales	5.682152377415368	6.669431673600457e-09	0.900612595065382	34314222.0	4126639.0	1455012.75	1192758.75	678150.0	1717600.25	848428.75	670577.0	3968622.25	8131780.0	2978953.5	793305.5	764587.0	1092296.0	543041.25
Pottiales	Oedipodiales	Sphagnales	5.901135465990185	1.8110763999601431e-09	0.731174614857895	5723420.25	562139.75	290747.5	289432.25	139652.25	490921.75	213464.75	136994.5	420087.75	1253633.0	346527.75	150583.5	170814.25	261312.75	116895.0
Pottiales	Tetraphidales	Sphagnales	7.313285459302549	1.3133938381315602e-13	0.6491972399714544	9636279.75	892268.5	591293.5	555307.5	259015.75	840025.75	369371.25	268326.75	713465.75	2078459.5	534237.0	305571.0	318868.25	483461.0	196864.75
Pottiales	Polytrichales	Sphagnales	7.444906328278355	4.884981308350689e-14	0.6760993753446196	47112800.25	4396136.0	3114113.0	2682743.75	1331248.5	4102113.75	1909840.5	1298883.0	3523173.0	10021833.0	2628089.25	1401999.75	1698517.75	2369480.75	999076.75
Pottiales	Rhabdoweisiales	Sphagnales	5.200833616595458	9.938775891171758e-08	0.9276335968292468	71585068.25	9291005.75	2414834.0	2030867.25	1173281.25	2828744.0	1417546.75	1096993.25	9279436.75	17509874.5	7126813.75	1322898.75	1326118.75	1796828.5	963044.5
Pottiales	Andreaeales	Sphagnales	6.621939928205074	1.7819523634443613e-11	0.3837668318349887	24197554.25	2000255.25	1614495.5	1656548.5	695209.5	2501750.25	1036652.75	726738.5	1422700.5	5096100.25	1095311.5	768895.0	868256.5	1460369.25	518051.5
Pottiales	Gigaspermales	Sphagnales	7.007339478821365	1.2223555501122974e-12	0.8586233789402788	6574638.75	745288.0	274082.0	257463.0	139082.75	386509.75	171084.5	132518.5	695687.5	1548612.0	532967.75	147743.75	154627.5	231400.5	104210.75
Pottiales	Sphagnales	Pelliales	4.817584362593985	7.274891131725525e-07	0.7564338223240837	11361779.25	1552392.5	951766.25	717822.0	469280.5	1218845.75	578524.25	515221.25	1011135.75	1722036.25	751743.75	495299.0	455967.25	583538.25	330786.0
Pottiales	Catoscopiales	Sphagnales	6.823920093418976	4.455658064728141e-12	0.8985017067447914	6998747.25	863716.25	253533.5	227071.75	130030.75	319600.75	147509.75	118903.0	851823.0	1703641.0	646509.0	145365.25	131676.5	203651.25	102822.0
Pottiales	Orthodontiales	Sphagnales	5.02582587369824	2.510418044554541e-07	0.9114964756798901	13869045.0	1674946.0	607648.25	473488.5	278359.75	689314.0	350893.75	272906.5	1613495.25	3266183.0	1197455.25	326105.0	323939.5	424578.0	224831.25
Pottiales	Dicranales	Bartramiales	8.157891245968823	2.220446049250313e-16	0.41117374840846604	117009297.5	4901195.0	3668681.0	4668333.5	882377.75	5319121.75	2532080.25	863208.75	4023812.75	42660482.25	3796095.75	861993.0	2567980.25	4603473.5	700234.0
Pottiales	Ditrichales	Dicranales	8.779400951264472	0.0	0.3482013959417722	115758224.75	3967381.5	2035994.5	4279476.0	523040.0	4864976.25	1530905.0	491470.75	2999236.25	46045049.0	3012481.5	476950.5	1527394.25	4433567.5	408228.25
Pottiales	Dicranales	Orthotrichales	8.472286042836554	0.0	0.6229516162427804	248509709.0	14858026.0	8336667.75	9179231.5	2319563.5	10748259.5	5784378.25	2349418.75	11393285.25	86550291.5	11127668.0	2242632.25	5882800.25	8858392.25	1800315.25
Pottiales	Dicranales	Tetraphidales	5.143577044763275	1.3502229556650036e-07	0.8767206237334463	31419774.5	2898713.5	1133311.5	992257.0	432821.75	1310445.0	701074.75	403144.75	2771863.0	8986077.0	2360001.0	470792.0	690464.75	908782.5	343556.0
Pottiales	Dicranales	Polytrichales	5.061339657436728	2.0850970150476655e-07	0.8964907183986561	155224853.75	15120897.25	5765023.75	4853192.5	2323285.0	6544853.25	3649081.5	2088423.0	14077850.0	43760907.0	11753279.0	2380022.75	3513012.0	4486462.0	1820563.25
Pottiales	Dicranales	Ptychomniales	8.383710544999753	0.0	0.6208525965668437	90668406.75	5511448.75	3028961.5	3360988.5	850320.5	3881255.75	2133973.0	836433.25	4143206.75	31438879.75	4018521.75	805420.25	2149079.0	3154663.25	673882.25
Pottiales	Dicranales	Splachnales	6.913358367809649	2.3812063432160357e-12	0.613387326504795	171882500.5	9256777.75	5835350.0	6163835.5	1562738.0	7185320.25	4220837.25	1472942.5	7303536.25	60163245.5	7117335.25	1488832.5	4151598.75	5960660.75	1194012.25
